rds_id,rds_name,rds_short_id,rds_status,rds_sfdc_id,rds_address,rds_city,rds_state,rds_idv_enabled,rds_created,sf_record_id,sf_name,sf_short_id,sf_status,snappt_property_id_c,sf_property_id_c,sf_address,sf_city,sf_state,sf_idv_enabled,sf_fraud_enabled,sf_income_enabled,sf_bank_enabled,sf_created,sf_modified,name_match_status,sfdc_id_match_status
7652724e-3e1b-455c-b1bc-fb7b7afe8833,Notch8,ogf2IGpQmv,ACTIVE,a01Dn00000HHmTHIA1,2900 Main Line Boulevard,Alexandria,VA,true,2025-11-17T21:31:53.000Z,a13UL00000h3TAjYAM,Notch8,ogf2IGpQmv,ACTIVE,7652724e-3e1b-455c-b1bc-fb7b7afe8833,a01Dn00000HHmTHIA1,2900 Main Line Boulevard,Alexandria,,false,true,true,true,2025-11-18T21:22:40.000Z,2026-01-05T10:04:06.000Z,Exact Match,SFDC ID Match
195437bf-5ac0-4cd7-80e0-ef815ddd214e,Darby at Briarcliff,mvtbIKsuZu,ACTIVE,a01UL00000W8GA3YAN,1600 Northwest 38th Street,Kansas City,MO,true,2025-11-17T20:42:44.000Z,a13UL00000gxpujYAA,Darby at Briarcliff,mvtbIKsuZu,ACTIVE,195437bf-5ac0-4cd7-80e0-ef815ddd214e,a01UL00000W8GA3YAN,1600 Northwest 38th Street,Kansas City,MO,true,true,true,true,2025-11-18T14:21:25.000Z,2025-11-24T17:51:52.000Z,Exact Match,SFDC ID Match
9f8292b1-7d00-46b1-949f-51df32bcfb60,Arlo,6Yvo3zcA76,ACTIVE,a01Dn00000HHGw6IAH,56 Swedesford Road,Malvern,PA,true,2025-11-17T20:35:23.000Z,a13UL00000h3TAkYAM,Arlo,6Yvo3zcA76,ACTIVE,9f8292b1-7d00-46b1-949f-51df32bcfb60,a01Dn00000HHGw6IAH,56 Swedesford Road,Malvern,,false,true,true,true,2025-11-18T21:22:40.000Z,2026-01-05T10:03:59.000Z,Exact Match,SFDC ID Match
cdb729de-be28-4504-9fcb-1929ea0db46e,Alta Nashoba Valley,L0OEA8Wzun,ACTIVE,a01UL00000a7ns8YAA,582 Main Street,Bolton,MA,true,2025-11-17T18:38:17.000Z,a13UL00000gxpxsYAA,Alta Nashoba Valley,L0OEA8Wzun,ACTIVE,cdb729de-be28-4504-9fcb-1929ea0db46e,a01UL00000a7ns8YAA,582 Main Street,Bolton,MA,false,true,true,true,2025-11-18T14:21:29.000Z,2025-11-21T19:47:59.000Z,Exact Match,SFDC ID Match
19f9c372-ef5b-41e1-838c-58c1f1ce3886,Deco,odZv0uPcmr,ACTIVE,a01Dn00000HHGNKIA5,625 Thomas Burgin Parkway,Quincy,MA,true,2025-11-17T18:30:34.000Z,a13UL00000h3ShqYAE,Deco,odZv0uPcmr,ACTIVE,19f9c372-ef5b-41e1-838c-58c1f1ce3886,a01Dn00000HHGNKIA5,625 Thomas Burgin Parkway,Quincy,MA,true,true,true,true,2025-11-18T21:21:59.000Z,2025-11-20T21:54:57.000Z,Exact Match,SFDC ID Match
b31f353d-8556-4cee-a89a-c9b5279cf3fe,Malabar Lakes,pPu4aAzlci,ACTIVE,a01Dn00000HHkzoIAD,1018 Malabar Lakes Drive Northeast,Palm Bay,FL,true,2025-11-17T18:21:51.000Z,a13UL00000gxpxtYAA,Malabar Lakes,pPu4aAzlci,ACTIVE,b31f353d-8556-4cee-a89a-c9b5279cf3fe,a01Dn00000HHkzoIAD,1018 Malabar Lakes Drive Northeast,Palm Bay,FL,true,true,true,true,2025-11-18T14:21:29.000Z,2026-01-05T10:04:00.000Z,Exact Match,SFDC ID Match
563737a7-6865-41e1-8171-6991e72a48f7,Aura Uptown,gTMuP2FrG4,ACTIVE,a01Dn00000HJPxAIAX,225 W Coolidge Street,Phoenix,AZ,true,2025-11-17T17:15:00.000Z,a13UL00000gxpxvYAA,Aura Uptown,gTMuP2FrG4,ACTIVE,563737a7-6865-41e1-8171-6991e72a48f7,a01Dn00000HJPxAIAX,225 W Coolidge Street,Phoenix,AZ,true,true,true,true,2025-11-18T14:21:29.000Z,2026-01-05T10:03:57.000Z,Exact Match,SFDC ID Match
af1ee758-1aa2-4ebe-82be-d7f7342c5308,The Morgan,R9czSVA7I0,ACTIVE,a01Dn00000HHliBIAT,1801 Wells Branch Parkway,Austin,TX,false,2025-11-17T15:48:23.000Z,a13UL00000gxpxyYAA,The Morgan,R9czSVA7I0,ACTIVE,af1ee758-1aa2-4ebe-82be-d7f7342c5308,a01Dn00000HHliBIAT,1801 Wells Branch Parkway,Austin,,false,true,true,true,2025-11-18T14:21:29.000Z,2026-01-05T10:04:00.000Z,Exact Match,SFDC ID Match
8a2a80e1-e6ec-4f43-ad9a-4245484e711f,Park Village,iXbG3PE3uS,ACTIVE,a01Dn00000HHUlnIAH,3099 Park Village Way,Melbourne,FL,true,2025-11-14T23:50:51.000Z,a13UL00000gmwnyYAA,Park Village,iXbG3PE3uS,ACTIVE,8a2a80e1-e6ec-4f43-ad9a-4245484e711f,a01Dn00000HHUlnIAH,3099 Park Village Way,Melbourne,FL,true,true,true,true,2025-11-15T14:21:09.000Z,2026-01-05T10:04:07.000Z,Exact Match,SFDC ID Match
81f9ded7-6f4e-4840-a580-f2ea38f67431,Parks at Hallandale,Vc94dq9vl6,ACTIVE,a01UL00000a2UuvYAE,100 Pembroke Road hal,Hallandale Beach,FL,true,2025-11-14T23:46:40.000Z,a13UL00000h3ShnYAE,Parks at Hallandale,Vc94dq9vl6,ACTIVE,81f9ded7-6f4e-4840-a580-f2ea38f67431,a01UL00000a2UuvYAE,100 Pembroke Road hal,Hallandale Beach,FL,true,true,true,false,2025-11-18T21:21:59.000Z,2025-11-20T21:54:57.000Z,Exact Match,SFDC ID Match
b72e9720-8f06-4027-8039-238138a82c58,Midora at Woodmont,MPqIJ16X8J,ACTIVE,a01Dn00000HHlVWIA1,7790 Northwest 78th Avenue,Tamarac,FL,true,2025-11-14T23:46:08.000Z,a13UL00000gmwnwYAA,Midora at Woodmont,MPqIJ16X8J,ACTIVE,b72e9720-8f06-4027-8039-238138a82c58,a01Dn00000HHlVWIA1,7790 Northwest 78th Avenue,Tamarac,FL,true,true,true,true,2025-11-15T14:21:09.000Z,2026-01-05T10:04:09.000Z,Exact Match,SFDC ID Match
4073f4cb-ec26-4e3f-8b4b-781d61378523,Veranda at Whitted School,2wMDeqH1cy,ACTIVE,a01Dn00000HHaOSIA1,200 East Umstead Street,Durham,NC,true,2025-11-14T23:42:36.000Z,a13UL00000gmwnxYAA,Veranda at Whitted School,2wMDeqH1cy,ACTIVE,4073f4cb-ec26-4e3f-8b4b-781d61378523,a01Dn00000HHaOSIA1,200 East Umstead Street,Durham,NC,true,true,true,true,2025-11-15T14:21:09.000Z,2025-12-10T17:30:02.000Z,Exact Match,SFDC ID Match
7089f7fb-c18f-4caf-aa05-c61687b7c5ae,The Brook,PcEwliOJEv,ACTIVE,a01Dn00000HHIt1IAH,9924 Oakbrook Drive,Charlotte,NC,true,2025-11-14T21:52:15.000Z,a13UL00000gmwntYAA,The Brook,PcEwliOJEv,ACTIVE,7089f7fb-c18f-4caf-aa05-c61687b7c5ae,a01Dn00000HHIt1IAH,9924 Oakbrook Drive,Charlotte,,false,false,false,false,2025-11-15T14:21:08.000Z,2026-01-05T10:04:06.000Z,Exact Match,SFDC ID Match
